# Lower Bound	Count	Width
29.3258	7	8.03439
37.3601	4	8.03439
45.3945	8	8.03439
53.4289	18	8.03439
61.4633	31	8.03439
69.4977	47	8.03439
77.5321	69	8.03439
85.5665	59	8.03439
93.6009	75	8.03439
101.635	109	8.03439
109.67	111	8.03439
117.704	152	8.03439
125.738	150	8.03439
133.773	160	8.03439
141.807	176	8.03439
149.842	160	8.03439
157.876	188	8.03438
165.91	202	8.03439
173.945	201	8.03439
181.979	227	8.03439
190.014	230	8.03438
198.048	224	8.03439
206.082	239	8.03439
214.117	231	8.03439
222.151	235	8.03438
230.185	247	8.03439
238.22	211	8.03439
246.254	230	8.03439
254.289	290	8.03439
262.323	267	8.03439
270.357	293	8.03436
278.392	347	8.03439
286.426	345	8.03439
294.461	403	8.03439
302.495	428	8.03439
310.529	473	8.03439
318.564	448	8.03439
326.598	470	8.03439
334.633	403	8.03436
342.667	366	8.03439
350.701	257	8.03439
358.736	203	8.03439
366.77	123	8.03439
374.805	103	8.03439
382.839	68	8.03439
390.873	35	8.03439
398.908	14	8.03436
406.942	8	8.03439
414.976	2	8.03439
423.011	1	8.03439

