# Lower Bound	Count	Width
0.0133524	405	0.00284522
0.0161976	386	0.00284522
0.0190429	385	0.00284522
0.0218881	448	0.00284522
0.0247333	416	0.00284522
0.0275785	454	0.00284522
0.0304237	487	0.00284522
0.033269	492	0.00284522
0.0361142	529	0.00284522
0.0389594	593	0.00284522
0.0418046	728	0.00284522
0.0446498	780	0.00284522
0.0474951	902	0.00284522
0.0503403	994	0.00284522
0.0531855	1129	0.00284522
0.0560307	1181	0.00284522
0.0588759	1116	0.00284522
0.0617211	1197	0.00284522
0.0645664	1288	0.00284522
0.0674116	1153	0.00284522
0.0702568	1162	0.00284521
0.073102	1136	0.00284522
0.0759472	1010	0.00284522
0.0787925	1132	0.00284522
0.0816377	1071	0.00284521
0.0844829	1004	0.00284522
0.0873281	938	0.00284522
0.0901733	977	0.00284522
0.0930186	940	0.00284522
0.0958638	875	0.00284521
0.098709	804	0.00284522
0.101554	708	0.00284522
0.104399	578	0.00284522
0.107245	528	0.00284522
0.11009	480	0.00284521
0.112935	403	0.00284522
0.11578	334	0.00284522
0.118626	334	0.00284522
0.121471	268	0.00284521
0.124316	224	0.00284522
0.127161	193	0.00284521
0.130006	127	0.00284523
0.132852	86	0.00284521
0.135697	87	0.00284523
0.138542	69	0.00284521
0.141387	32	0.00284521
0.144232	32	0.00284523
0.147078	10	0.00284521
0.149923	4	0.00284523
0.152768	7	0.00284521

