# Lower Bound	Count	Width
5.00004	21007	3.745
8.74504	4251	3.745
12.49	1970	3.745
16.235	1015	3.745
19.98	657	3.745
23.725	618	3.745
27.47	233	3.745
31.215	252	3.745
34.96	153	3.745
38.705	125	3.745
42.45	83	3.745
46.195	86	3.745
49.94	51	3.745
53.685	26	3.745
57.43	9	3.745
61.175	10	3.745
64.9201	13	3.745
68.665	8	3.745
72.41	11	3.745
76.1551	7	3.745
79.9001	5	3.745
83.6451	5	3.745
87.3901	3	3.745
91.1351	0	3.745
94.8801	2	3.745
98.6251	2	3.745
102.37	0	3.745
106.115	1	3.745
109.86	0	3.745
113.605	1	3.745
117.35	0	3.745
121.095	0	3.745
124.84	2	3.745
128.585	0	3.745
132.33	2	3.745
136.075	1	3.74501
139.82	0	3.745
143.565	0	3.74501
147.31	0	3.745
151.055	0	3.745
154.8	0	3.74501
158.545	0	3.745
162.29	0	3.745
166.035	0	3.74501
169.78	0	3.745
173.525	0	3.74501
177.27	1	3.745
181.015	2	3.745
184.76	0	3.74501
188.505	1	3.745

