# Lower Bound	Count	Width
6	58	9.09625
15.0962	134	9.09625
24.1925	213	9.09625
33.2887	284	9.09624
42.385	355	9.09625
51.4812	384	9.09624
60.5775	304	9.09624
69.6737	266	9.09625
78.77	208	9.09624
87.8662	159	9.09624
96.9625	163	9.09624
106.059	121	9.09624
115.155	117	9.09625
124.251	94	9.09624
133.347	93	9.09625
142.444	84	9.09625
151.54	54	9.09624
160.636	67	9.09625
169.732	36	9.09624
178.829	53	9.09625
187.925	44	9.09625
197.021	33	9.09624
206.117	47	9.09625
215.214	47	9.09624
224.31	29	9.09625
233.406	21	9.09625
242.502	25	9.09624
251.599	33	9.09624
260.695	34	9.09625
269.791	40	9.09625
278.887	30	9.09625
287.984	36	9.09625
297.08	34	9.09622
306.176	37	9.09625
315.272	25	9.09625
324.369	22	9.09625
333.465	31	9.09625
342.561	26	9.09622
351.657	23	9.09625
360.754	25	9.09625
369.85	25	9.09625
378.946	19	9.09625
388.042	20	9.09622
397.139	10	9.09625
406.235	14	9.09625
415.331	9	9.09625
424.427	13	9.09625
433.524	8	9.09622
442.62	2	9.09625
451.716	0	9.09625

