# Lower Bound	Count	Width
0.0133334	882	0.00202257
0.0153559	871	0.00202257
0.0173785	859	0.00202257
0.0194011	790	0.00202257
0.0214236	561	0.00202257
0.0234462	384	0.00202257
0.0254688	547	0.00202257
0.0274913	1011	0.00202257
0.0295139	682	0.00202257
0.0315365	463	0.00202257
0.033559	516	0.00202257
0.0355816	542	0.00202256
0.0376042	460	0.00202257
0.0396267	636	0.00202257
0.0416493	501	0.00202257
0.0436719	365	0.00202256
0.0456944	273	0.00202257
0.047717	261	0.00202257
0.0497396	443	0.00202257
0.0517621	377	0.00202256
0.0537847	314	0.00202257
0.0558073	348	0.00202257
0.0578298	280	0.00202257
0.0598524	242	0.00202256
0.061875	196	0.00202257
0.0638976	195	0.00202256
0.0659201	227	0.00202256
0.0679427	297	0.00202257
0.0699653	408	0.00202256
0.0719878	305	0.00202256
0.0740104	160	0.00202257
0.076033	126	0.00202256
0.0780555	161	0.00202257
0.0800781	216	0.00202256
0.0821007	187	0.00202256
0.0841232	123	0.00202257
0.0861458	47	0.00202256
0.0881684	67	0.00202256
0.0901909	98	0.00202257
0.0922135	114	0.00202256
0.0942361	121	0.00202257
0.0962586	38	0.00202256
0.0982812	13	0.00202256
0.100304	15	0.00202257
0.102326	11	0.00202256
0.104349	17	0.00202256
0.106371	17	0.00202257
0.108394	35	0.00202256
0.110417	50	0.00202257
0.112439	4	0.00202256

