# Lower Bound	Count	Width
5.00045	6900	4.01564
9.0161	2873	4.01564
13.0317	1670	4.01564
17.0474	624	4.01564
21.063	337	4.01564
25.0787	435	4.01564
29.0943	462	4.01564
33.1099	548	4.01564
37.1256	301	4.01564
41.1412	146	4.01564
45.1569	42	4.01564
49.1725	40	4.01564
53.1881	36	4.01564
57.2038	21	4.01564
61.2194	21	4.01564
65.2351	19	4.01564
69.2507	58	4.01564
73.2663	172	4.01564
77.282	22	4.01564
81.2976	24	4.01564
85.3133	63	4.01564
89.3289	248	4.01564
93.3445	14	4.01564
97.3602	21	4.01564
101.376	50	4.01564
105.391	74	4.01564
109.407	58	4.01564
113.423	7	4.01564
117.438	8	4.01564
121.454	51	4.01564
125.47	150	4.01564
129.485	76	4.01564
133.501	34	4.01564
137.517	151	4.01564
141.532	12	4.01564
145.548	13	4.01564
149.564	7	4.01564
153.579	9	4.01564
157.595	16	4.01564
161.61	19	4.01564
165.626	11	4.01564
169.642	4	4.01564
173.657	5	4.01564
177.673	4	4.01564
181.689	0	4.01564
185.704	0	4.01564
189.72	0	4.01564
193.736	2	4.01564
197.751	1	4.01564
201.767	1	4.01564

