# Lower Bound	Count	Width
-5.96046e-07	167	8.5916
8.5916	179	8.5916
17.1832	387	8.5916
25.7748	569	8.5916
34.3664	690	8.5916
42.958	761	8.5916
51.5496	679	8.5916
60.1412	599	8.5916
68.7328	444	8.5916
77.3244	387	8.5916
85.916	262	8.59161
94.5076	178	8.5916
103.099	160	8.5916
111.691	122	8.5916
120.282	90	8.59161
128.874	70	8.5916
137.466	57	8.5916
146.057	27	8.5916
154.649	21	8.5916
163.24	28	8.5916
171.832	26	8.5916
180.424	14	8.59161
189.015	16	8.5916
197.607	8	8.5916
206.198	5	8.5916
214.79	3	8.5916
223.382	9	8.5916
231.973	3	8.5916
240.565	6	8.5916
249.156	1	8.59161
257.748	4	8.59158
266.34	2	8.59161
274.931	4	8.59158
283.523	4	8.59161
292.114	1	8.59161
300.706	0	8.59158
309.298	0	8.59161
317.889	1	8.59158
326.481	2	8.59161
335.072	2	8.59158
343.664	0	8.59161
352.256	0	8.59161
360.847	2	8.59158
369.439	1	8.59161
378.03	0	8.59158
386.622	1	8.59161
395.214	2	8.59158
403.805	2	8.59161
412.397	0	8.59158
420.988	0	8.59161

