# Lower Bound	Count	Width
4603.63	162	615.744
5219.38	242	615.744
5835.12	526	615.744
6450.86	538	615.744
7066.61	417	615.744
7682.35	352	615.744
8298.1	251	615.743
8913.84	197	615.744
9529.58	175	615.744
10145.3	126	615.743
10761.1	130	615.744
11376.8	86	615.744
11992.6	89	615.743
12608.3	45	615.744
13224	51	615.744
13839.8	44	615.744
14455.5	34	615.743
15071.3	26	615.744
15687	16	615.744
16302.8	13	615.744
16918.5	13	615.742
17534.3	8	615.744
18150	12	615.744
18765.7	6	615.744
19381.5	4	615.744
19997.2	7	615.744
20613	6	615.744
21228.7	2	615.742
21844.5	3	615.744
22460.2	2	615.744
23075.9	3	615.744
23691.7	3	615.744
24307.4	4	615.744
24923.2	2	615.742
25538.9	0	615.744
26154.7	1	615.744
26770.4	1	615.744
27386.2	0	615.744
28001.9	0	615.744
28617.6	0	615.744
29233.4	0	615.742
29849.1	1	615.744
30464.9	0	615.744
31080.6	0	615.744
31696.4	0	615.744
32312.1	0	615.742
32927.8	1	615.746
33543.6	0	615.742
34159.3	0	615.746
34775.1	0	615.742

