# Lower Bound	Count	Width
10	2	0.2
10.2	0	0.2
10.4	0	0.200001
10.6	0	0.2
10.8	0	0.2
11	8	0.2
11.2	0	0.200001
11.4	0	0.2
11.6	0	0.2
11.8	0	0.2
12	23	0.2
12.2	0	0.200001
12.4	0	0.2
12.6	0	0.2
12.8	0	0.2
13	70	0.200001
13.2	0	0.2
13.4	0	0.2
13.6	0	0.2
13.8	0	0.2
14	335	0.200001
14.2	0	0.2
14.4	0	0.2
14.6	0	0.2
14.8	0	0.200001
15	1134	0.2
15.2	0	0.2
15.4	0	0.2
15.6	0	0.2
15.8	0	0.200001
16	1372	0.199999
16.2	0	0.200001
16.4	0	0.200001
16.6	0	0.199999
16.8	0	0.200001
17	549	0.199999
17.2	0	0.200001
17.4	0	0.200001
17.6	0	0.199999
17.8	0	0.200001
18	96	0.200001
18.2	0	0.199999
18.4	0	0.200001
18.6	0	0.199999
18.8	0	0.200001
19	10	0.200001
19.2	0	0.199999
19.4	0	0.200001
19.6	0	0.199999
19.8	0	0.200001

