# Lower Bound	Count	Width
0.0527742	1	0.00768657
0.0604608	1	0.00768657
0.0681473	1	0.00768657
0.0758339	4	0.00768657
0.0835205	14	0.00768656
0.091207	13	0.00768657
0.0988936	19	0.00768657
0.10658	35	0.00768657
0.114267	46	0.00768657
0.121953	98	0.00768656
0.12964	229	0.00768657
0.137326	365	0.00768657
0.145013	748	0.00768657
0.1527	1490	0.00768657
0.160386	2580	0.00768657
0.168073	4319	0.00768657
0.175759	6341	0.00768657
0.183446	9164	0.00768657
0.191132	11090	0.00768657
0.198819	12702	0.00768657
0.206506	13235	0.00768657
0.214192	13292	0.00768657
0.221879	12294	0.00768657
0.229565	10747	0.00768657
0.237252	9020	0.00768656
0.244938	7514	0.00768659
0.252625	5978	0.00768656
0.260312	4634	0.00768659
0.267998	3499	0.00768656
0.275685	2586	0.00768659
0.283371	1807	0.00768656
0.291058	1302	0.00768659
0.298744	915	0.00768656
0.306431	612	0.00768656
0.314118	395	0.00768659
0.321804	284	0.00768656
0.329491	199	0.00768659
0.337177	99	0.00768656
0.344864	82	0.00768659
0.35255	75	0.00768656
0.360237	18	0.00768659
0.367924	33	0.00768656
0.37561	12	0.00768659
0.383297	16	0.00768656
0.390983	7	0.00768659
0.39867	6	0.00768656
0.406356	0	0.00768659
0.414043	0	0.00768656
0.42173	0	0.00768659
0.429416	1	0.00768656

