# Lower Bound	Count	Width
1146.67	3454	1279.82
2426.49	66362	1279.82
3706.31	92340	1279.82
4986.13	74039	1279.82
6265.95	52452	1279.82
7545.77	37886	1279.82
8825.59	27773	1279.82
10105.4	20687	1279.82
11385.2	15358	1279.82
12665.1	11586	1279.82
13944.9	8939	1279.82
15224.7	6859	1279.82
16504.5	5166	1279.82
17784.3	3969	1279.82
19064.2	2941	1279.82
20344	2543	1279.82
21623.8	1791	1279.82
22903.6	1449	1279.82
24183.4	1110	1279.82
25463.3	870	1279.82
26743.1	661	1279.82
28022.9	502	1279.82
29302.7	416	1279.82
30582.5	310	1279.82
31862.4	227	1279.82
33142.2	171	1279.82
34422	126	1279.82
35701.8	104	1279.82
36981.6	73	1279.82
38261.5	56	1279.82
39541.3	52	1279.82
40821.1	49	1279.82
42100.9	18	1279.82
43380.7	19	1279.82
44660.6	7	1279.82
45940.4	5	1279.82
47220.2	8	1279.82
48500	4	1279.82
49779.8	4	1279.82
51059.7	3	1279.82
52339.5	3	1279.82
53619.3	1	1279.82
54899.1	2	1279.82
56178.9	1	1279.82
57458.8	1	1279.82
58738.6	0	1279.82
60018.4	1	1279.82
61298.2	1	1279.82
62578	0	1279.82
63857.9	0	1279.82

