# Lower Bound	Count	Width
0.071273	2	0.00650552
0.0777785	1	0.00650553
0.084284	2	0.00650552
0.0907896	2	0.00650553
0.0972951	3	0.00650552
0.103801	2	0.00650552
0.110306	7	0.00650553
0.116812	13	0.00650552
0.123317	18	0.00650553
0.129823	12	0.00650552
0.136328	42	0.00650552
0.142834	31	0.00650552
0.149339	46	0.00650553
0.155845	42	0.00650552
0.16235	57	0.00650552
0.168856	58	0.00650552
0.175361	71	0.00650552
0.181867	86	0.00650553
0.188372	89	0.00650552
0.194878	96	0.00650552
0.201383	104	0.00650552
0.207889	97	0.00650552
0.214394	114	0.00650553
0.2209	116	0.00650552
0.227406	95	0.00650552
0.233911	125	0.00650552
0.240417	106	0.00650552
0.246922	95	0.00650553
0.253428	75	0.00650552
0.259933	80	0.00650552
0.266439	65	0.00650552
0.272944	55	0.00650552
0.27945	43	0.00650552
0.285955	32	0.00650552
0.292461	34	0.00650555
0.298966	23	0.00650552
0.305472	23	0.00650552
0.311977	12	0.00650552
0.318483	12	0.00650552
0.324988	3	0.00650552
0.331494	5	0.00650552
0.337999	4	0.00650552
0.344505	2	0.00650552
0.35101	2	0.00650552
0.357516	0	0.00650552
0.364021	0	0.00650555
0.370527	0	0.00650552
0.377033	0	0.00650552
0.383538	0	0.00650552
0.390044	1	0.00650552

