# Lower Bound	Count	Width
0.0778441	3	0.00721079
0.0850549	2	0.0072108
0.0922657	3	0.00721079
0.0994765	5	0.0072108
0.106687	14	0.00721079
0.113898	12	0.0072108
0.121109	19	0.00721079
0.12832	23	0.00721079
0.13553	27	0.00721081
0.142741	29	0.00721079
0.149952	44	0.00721079
0.157163	72	0.00721079
0.164374	80	0.00721079
0.171584	92	0.00721081
0.178795	114	0.00721079
0.186006	206	0.00721079
0.193217	270	0.00721079
0.200428	324	0.00721081
0.207638	424	0.00721079
0.214849	573	0.00721079
0.22206	695	0.00721079
0.229271	747	0.00721081
0.236482	773	0.00721079
0.243692	865	0.00721079
0.250903	830	0.00721079
0.258114	771	0.00721079
0.265325	717	0.00721079
0.272536	602	0.00721079
0.279746	518	0.00721082
0.286957	412	0.00721079
0.294168	355	0.00721079
0.301379	305	0.00721079
0.30859	188	0.00721079
0.3158	140	0.00721079
0.323011	106	0.00721079
0.330222	99	0.00721079
0.337433	50	0.00721082
0.344644	44	0.00721079
0.351854	31	0.00721079
0.359065	23	0.00721079
0.366276	7	0.00721079
0.373487	8	0.00721079
0.380697	3	0.00721079
0.387908	5	0.00721079
0.395119	0	0.00721079
0.40233	1	0.00721082
0.409541	0	0.00721079
0.416751	0	0.00721079
0.423962	0	0.00721079
0.431173	1	0.00721079

