# Lower Bound	Count	Width
2257.66	4066	1193.96
3451.62	6182	1193.96
4645.58	4598	1193.96
5839.54	3536	1193.96
7033.5	2640	1193.96
8227.45	2173	1193.96
9421.41	1823	1193.96
10615.4	1533	1193.96
11809.3	1193	1193.96
13003.3	991	1193.96
14197.2	802	1193.96
15391.2	728	1193.96
16585.2	617	1193.96
17779.1	510	1193.96
18973.1	465	1193.96
20167	376	1193.96
21361	318	1193.96
22554.9	296	1193.96
23748.9	240	1193.96
24942.9	202	1193.96
26136.8	165	1193.96
27330.8	128	1193.96
28524.7	103	1193.96
29718.7	101	1193.96
30912.7	89	1193.96
32106.6	53	1193.96
33300.6	49	1193.96
34494.5	37	1193.96
35688.5	38	1193.96
36882.4	29	1193.96
38076.4	22	1193.96
39270.4	15	1193.96
40464.3	17	1193.96
41658.3	19	1193.96
42852.2	10	1193.96
44046.2	9	1193.96
45240.2	9	1193.96
46434.1	2	1193.96
47628.1	3	1193.96
48822	1	1193.96
50016	2	1193.96
51209.9	2	1193.96
52403.9	5	1193.96
53597.9	0	1193.96
54791.8	1	1193.96
55985.8	0	1193.96
57179.7	0	1193.96
58373.7	0	1193.96
59567.6	1	1193.96
60761.6	0	1193.96

