# Lower Bound	Count	Width
0.0800554	1	0.00589951
0.0859549	2	0.00589952
0.0918544	4	0.00589951
0.0977539	3	0.00589951
0.103653	6	0.00589951
0.109553	4	0.00589952
0.115452	8	0.00589951
0.121352	12	0.00589951
0.127251	6	0.00589952
0.133151	17	0.0058995
0.13905	17	0.00589952
0.14495	26	0.00589952
0.15085	28	0.0058995
0.156749	32	0.00589952
0.162649	49	0.00589952
0.168548	46	0.0058995
0.174448	38	0.00589952
0.180347	39	0.00589952
0.186247	42	0.0058995
0.192146	41	0.00589952
0.198046	53	0.0058995
0.203945	53	0.00589952
0.209845	62	0.00589952
0.215744	54	0.0058995
0.221644	58	0.00589952
0.227543	59	0.00589952
0.233443	64	0.0058995
0.239342	52	0.00589952
0.245242	48	0.00589952
0.251141	40	0.00589952
0.257041	42	0.00589949
0.26294	29	0.00589952
0.26884	29	0.00589952
0.274739	28	0.00589952
0.280639	29	0.00589952
0.286538	21	0.00589952
0.292438	12	0.00589949
0.298337	20	0.00589952
0.304237	15	0.00589952
0.310136	5	0.00589952
0.316036	9	0.00589952
0.321935	5	0.00589949
0.327835	6	0.00589952
0.333734	2	0.00589952
0.339634	0	0.00589952
0.345533	1	0.00589952
0.351433	2	0.00589952
0.357332	1	0.00589949
0.363232	1	0.00589952
0.369132	2	0.00589952

