# Lower Bound	Count	Width
0.00386738	398	0.0133825
0.0172498	618	0.0133825
0.0306323	556	0.0133825
0.0440148	650	0.0133825
0.0573973	664	0.0133825
0.0707797	528	0.0133825
0.0841622	424	0.0133825
0.0975447	343	0.0133825
0.110927	279	0.0133825
0.12431	192	0.0133825
0.137692	182	0.0133825
0.151075	169	0.0133825
0.164457	118	0.0133825
0.17784	104	0.0133825
0.191222	83	0.0133825
0.204604	59	0.0133825
0.217987	73	0.0133825
0.231369	66	0.0133825
0.244752	60	0.0133825
0.258134	49	0.0133825
0.271517	51	0.0133825
0.284899	52	0.0133825
0.298282	44	0.0133825
0.311664	35	0.0133825
0.325047	42	0.0133825
0.338429	40	0.0133825
0.351812	42	0.0133825
0.365194	28	0.0133825
0.378577	38	0.0133825
0.391959	20	0.0133825
0.405342	29	0.0133825
0.418724	21	0.0133825
0.432106	21	0.0133825
0.445489	10	0.0133825
0.458871	16	0.0133825
0.472254	10	0.0133825
0.485636	12	0.0133825
0.499019	6	0.0133825
0.512401	3	0.0133824
0.525784	2	0.0133825
0.539166	1	0.0133825
0.552549	4	0.0133824
0.565931	0	0.0133825
0.579314	2	0.0133824
0.592696	0	0.0133825
0.606079	1	0.0133825
0.619461	1	0.0133824
0.632843	0	0.0133825
0.646226	0	0.0133824
0.659608	2	0.0133825

