# Lower Bound	Count	Width
500.002	8698	177.45
677.452	6981	177.45
854.903	2538	177.45
1032.35	1441	177.45
1209.8	987	177.45
1387.25	649	177.45
1564.7	436	177.45
1742.15	270	177.45
1919.6	170	177.45
2097.05	150	177.45
2274.5	114	177.45
2451.95	101	177.45
2629.4	74	177.45
2806.85	78	177.45
2984.31	80	177.45
3161.76	48	177.45
3339.21	39	177.45
3516.66	38	177.45
3694.11	33	177.45
3871.56	36	177.45
4049.01	21	177.45
4226.46	27	177.45
4403.91	22	177.45
4581.36	22	177.45
4758.81	13	177.45
4936.26	15	177.45
5113.71	11	177.45
5291.16	11	177.45
5468.61	21	177.45
5646.06	13	177.45
5823.51	13	177.45
6000.96	6	177.45
6178.41	5	177.45
6355.86	8	177.451
6533.31	6	177.45
6710.76	2	177.45
6888.21	3	177.45
7065.66	2	177.45
7243.11	4	177.45
7420.56	2	177.45
7598.01	4	177.45
7775.46	1	177.45
7952.91	0	177.45
8130.36	1	177.45
8307.81	3	177.45
8485.26	2	177.45
8662.71	1	177.45
8840.16	1	177.45
9017.61	1	177.45
9195.06	0	177.45

