# Lower Bound	Count	Width
9	2	0.22
9.22	0	0.219999
9.44	0	0.22
9.66	0	0.22
9.88	5	0.22
10.1	0	0.219999
10.32	0	0.22
10.54	0	0.22
10.76	0	0.22
10.98	22	0.219999
11.2	0	0.22
11.42	0	0.22
11.64	0	0.22
11.86	476	0.219999
12.08	0	0.22
12.3	0	0.22
12.52	0	0.22
12.74	0	0.219999
12.96	3462	0.22
13.18	0	0.22
13.4	0	0.22
13.62	0	0.219999
13.84	5322	0.22
14.06	0	0.22
14.28	0	0.22
14.5	0	0.219999
14.72	0	0.22
14.94	7928	0.22
15.16	0	0.219999
15.38	0	0.22
15.6	0	0.22
15.82	4735	0.219999
16.04	0	0.220001
16.26	0	0.219999
16.48	0	0.219999
16.7	0	0.220001
16.92	1065	0.219999
17.14	0	0.220001
17.36	0	0.219999
17.58	0	0.219999
17.8	193	0.220001
18.02	0	0.219999
18.24	0	0.219999
18.46	0	0.220001
18.68	0	0.219999
18.9	37	0.220001
19.12	0	0.219999
19.34	0	0.219999
19.56	0	0.220001
19.78	0	0.219999

