# Lower Bound	Count	Width
-5.96046e-07	109	0.00934923
0.00934864	19	0.00934923
0.0186979	32	0.00934923
0.0280471	67	0.00934923
0.0373963	117	0.00934923
0.0467456	174	0.00934923
0.0560948	181	0.00934923
0.065444	190	0.00934923
0.0747933	203	0.00934923
0.0841425	213	0.00934923
0.0934917	211	0.00934923
0.102841	206	0.00934923
0.11219	195	0.00934923
0.121539	164	0.00934924
0.130889	136	0.00934923
0.140238	147	0.00934924
0.149587	110	0.00934923
0.158936	105	0.00934924
0.168286	80	0.00934923
0.177635	76	0.00934924
0.186984	55	0.00934923
0.196333	69	0.00934924
0.205683	49	0.00934923
0.215032	32	0.00934924
0.224381	29	0.00934923
0.23373	25	0.00934923
0.243079	28	0.00934923
0.252429	19	0.00934926
0.261778	15	0.00934923
0.271127	22	0.00934923
0.280476	11	0.00934923
0.289826	10	0.00934926
0.299175	19	0.00934923
0.308524	12	0.00934923
0.317873	10	0.00934923
0.327223	6	0.00934926
0.336572	5	0.00934923
0.345921	3	0.00934923
0.35527	9	0.00934923
0.36462	2	0.00934926
0.373969	2	0.00934923
0.383318	3	0.00934923
0.392667	2	0.00934923
0.402016	2	0.00934926
0.411366	3	0.00934923
0.420715	2	0.00934923
0.430064	0	0.00934923
0.439413	1	0.00934926
0.448763	2	0.00934923
0.458112	4	0.00934923

