# Lower Bound	Count	Width
11741.5	252	1457.8
13199.3	441	1457.8
14657.1	505	1457.8
16114.9	436	1457.8
17572.7	412	1457.8
19030.5	265	1457.8
20488.3	242	1457.8
21946.1	159	1457.8
23403.9	165	1457.8
24861.7	129	1457.8
26319.5	109	1457.8
27777.3	88	1457.8
29235.1	68	1457.79
30692.8	51	1457.8
32150.6	48	1457.8
33608.4	29	1457.8
35066.2	30	1457.8
36524	37	1457.8
37981.8	17	1457.8
39439.6	19	1457.8
40897.4	10	1457.8
42355.2	17	1457.8
43813	11	1457.8
45270.8	13	1457.8
46728.6	7	1457.79
48186.4	6	1457.8
49644.2	4	1457.8
51102	7	1457.8
52559.8	2	1457.8
54017.6	3	1457.8
55475.4	1	1457.8
56933.2	4	1457.8
58391	1	1457.8
59848.8	0	1457.8
61306.6	2	1457.8
62764.4	1	1457.8
64222.2	1	1457.8
65680	1	1457.8
67137.8	1	1457.8
68595.6	2	1457.8
70053.4	0	1457.8
71511.2	0	1457.8
72969	0	1457.8
74426.8	0	1457.8
75884.5	0	1457.8
77342.3	2	1457.8
78800.1	1	1457.8
80257.9	0	1457.8
81715.7	0	1457.8
83173.5	0	1457.8

