# Lower Bound	Count	Width
10	1	0.22
10.22	0	0.219999
10.44	0	0.22
10.66	0	0.22
10.88	6	0.22
11.1	0	0.219999
11.32	0	0.22
11.54	0	0.22
11.76	0	0.22
11.98	23	0.219999
12.2	0	0.22
12.42	0	0.22
12.64	0	0.22
12.86	127	0.219999
13.08	0	0.22
13.3	0	0.22
13.52	0	0.22
13.74	0	0.219999
13.96	354	0.22
14.18	0	0.22
14.4	0	0.22
14.62	0	0.219999
14.84	1126	0.22
15.06	0	0.22
15.28	0	0.22
15.5	0	0.219999
15.72	0	0.22
15.94	1275	0.22
16.16	0	0.219999
16.38	0	0.220001
16.6	0	0.219999
16.82	577	0.219999
17.04	0	0.220001
17.26	0	0.219999
17.48	0	0.219999
17.7	0	0.220001
17.92	99	0.219999
18.14	0	0.220001
18.36	0	0.219999
18.58	0	0.219999
18.8	11	0.220001
19.02	0	0.219999
19.24	0	0.219999
19.46	0	0.220001
19.68	0	0.219999
19.9	0	0.220001
20.12	0	0.219999
20.34	0	0.219999
20.56	0	0.220001
20.78	0	0.219999

