# Lower Bound	Count	Width
0.0360264	6	0.00852603
0.0445525	21	0.00852603
0.0530785	45	0.00852603
0.0616045	100	0.00852603
0.0701305	137	0.00852603
0.0786566	229	0.00852603
0.0871826	283	0.00852603
0.0957086	395	0.00852603
0.104235	485	0.00852603
0.112761	604	0.00852603
0.121287	754	0.00852603
0.129813	895	0.00852604
0.138339	1011	0.00852603
0.146865	1277	0.00852603
0.155391	1486	0.00852604
0.163917	1873	0.00852603
0.172443	2623	0.00852603
0.180969	3481	0.00852604
0.189495	5000	0.00852603
0.198021	6696	0.00852603
0.206547	8938	0.00852604
0.215073	10997	0.00852603
0.223599	12833	0.00852603
0.232125	13702	0.00852604
0.240651	13817	0.00852603
0.249177	13018	0.00852604
0.257703	11222	0.00852603
0.266229	9284	0.00852603
0.274755	7292	0.00852603
0.283281	5283	0.00852603
0.291807	3819	0.00852606
0.300333	2557	0.00852603
0.308859	1570	0.00852603
0.317385	1047	0.00852603
0.325912	637	0.00852603
0.334438	404	0.00852606
0.342964	260	0.00852603
0.35149	160	0.00852603
0.360016	96	0.00852603
0.368542	47	0.00852603
0.377068	34	0.00852603
0.385594	36	0.00852606
0.39412	15	0.00852603
0.402646	8	0.00852603
0.411172	11	0.00852603
0.419698	7	0.00852603
0.428224	5	0.00852603
0.43675	4	0.00852606
0.445276	0	0.00852603
0.453802	2	0.00852603

