# Lower Bound	Count	Width
1370.9	30074	1895.22
3266.12	108440	1895.22
5161.33	94277	1895.22
7056.55	61711	1895.22
8951.76	40980	1895.22
10847	27983	1895.21
12742.2	19786	1895.22
14637.4	14116	1895.21
16532.6	10390	1895.22
18427.8	7695	1895.21
20323.1	5746	1895.21
22218.3	4329	1895.21
24113.5	3210	1895.22
26008.7	2617	1895.21
27903.9	2041	1895.21
29799.1	1561	1895.21
31694.3	1200	1895.21
33589.6	914	1895.22
35484.8	730	1895.21
37380	602	1895.21
39275.2	456	1895.21
41170.4	297	1895.21
43065.6	266	1895.21
44960.9	211	1895.21
46856.1	172	1895.22
48751.3	133	1895.21
50646.5	123	1895.21
52541.7	83	1895.21
54436.9	64	1895.21
56332.1	63	1895.21
58227.4	32	1895.21
60122.6	22	1895.21
62017.8	20	1895.22
63913	21	1895.21
65808.2	15	1895.21
67703.4	6	1895.22
69598.7	4	1895.22
71493.9	4	1895.21
73389.1	1	1895.22
75284.3	1	1895.21
77179.5	1	1895.22
79074.7	0	1895.21
80969.9	0	1895.22
82865.2	0	1895.22
84760.4	0	1895.21
86655.6	1	1895.22
88550.8	0	1895.21
90446	0	1895.22
92341.2	1	1895.21
94236.5	0	1895.22

