# Lower Bound	Count	Width
0.0480831	2	0.00756397
0.0556471	9	0.00756397
0.063211	14	0.00756396
0.070775	21	0.00756396
0.078339	36	0.00756396
0.0859029	42	0.00756397
0.0934669	68	0.00756396
0.101031	86	0.00756396
0.108595	133	0.00756396
0.116159	151	0.00756397
0.123723	155	0.00756396
0.131287	232	0.00756396
0.138851	247	0.00756396
0.146415	290	0.00756396
0.153979	283	0.00756396
0.161543	347	0.00756398
0.169107	402	0.00756396
0.176671	435	0.00756396
0.184234	466	0.00756396
0.191798	461	0.00756396
0.199362	437	0.00756396
0.206926	452	0.00756396
0.21449	410	0.00756396
0.222054	411	0.00756398
0.229618	331	0.00756396
0.237182	358	0.00756396
0.244746	308	0.00756396
0.25231	221	0.00756398
0.259874	197	0.00756395
0.267438	179	0.00756398
0.275002	152	0.00756395
0.282566	91	0.00756398
0.29013	64	0.00756395
0.297694	50	0.00756398
0.305258	45	0.00756398
0.312822	33	0.00756395
0.320386	23	0.00756398
0.32795	10	0.00756395
0.335514	8	0.00756398
0.343078	10	0.00756395
0.350642	5	0.00756398
0.358206	3	0.00756395
0.36577	5	0.00756398
0.373334	1	0.00756398
0.380898	1	0.00756395
0.388462	1	0.00756398
0.396026	0	0.00756395
0.403589	0	0.00756398
0.411153	0	0.00756395
0.418717	1	0.00756398

