# Lower Bound	Count	Width
0.0478107	1	0.00901401
0.0568247	12	0.00901401
0.0658387	14	0.009014
0.0748527	18	0.00901401
0.0838667	29	0.009014
0.0928807	39	0.00901401
0.101895	62	0.009014
0.110909	77	0.00901401
0.119923	99	0.00901401
0.128937	111	0.00901401
0.137951	120	0.009014
0.146965	171	0.00901401
0.155979	193	0.00901401
0.164993	206	0.00901401
0.174007	239	0.00901401
0.183021	262	0.009014
0.192035	281	0.00901401
0.201049	340	0.00901401
0.210063	396	0.00901401
0.219077	467	0.009014
0.228091	517	0.00901401
0.237105	614	0.00901401
0.246119	670	0.00901401
0.255133	705	0.00901401
0.264147	732	0.00901401
0.273161	838	0.00901401
0.282175	710	0.00901398
0.291189	679	0.00901401
0.300203	553	0.00901401
0.309217	446	0.00901401
0.318231	350	0.00901401
0.327245	257	0.00901401
0.336259	186	0.00901401
0.345273	118	0.00901401
0.354287	74	0.00901401
0.363301	47	0.00901401
0.372315	45	0.00901398
0.381329	26	0.00901401
0.390343	11	0.00901401
0.399357	10	0.00901401
0.408371	2	0.00901401
0.417385	4	0.00901401
0.426399	0	0.00901401
0.435413	1	0.00901401
0.444427	0	0.00901401
0.453441	1	0.00901398
0.462455	0	0.00901401
0.471469	0	0.00901401
0.480483	0	0.00901401
0.489497	1	0.00901401

