# Lower Bound	Count	Width
2730.7	3437	1911.27
4641.97	6550	1911.27
6553.24	4637	1911.27
8464.5	3389	1911.27
10375.8	2736	1911.27
12287	2129	1911.27
14198.3	1760	1911.27
16109.6	1565	1911.27
18020.8	1277	1911.27
19932.1	978	1911.27
21843.4	870	1911.27
23754.6	785	1911.27
25665.9	630	1911.27
27577.2	571	1911.27
29488.4	440	1911.27
31399.7	379	1911.26
33311	373	1911.27
35222.2	282	1911.27
37133.5	237	1911.27
39044.8	189	1911.27
40956	164	1911.27
42867.3	129	1911.27
44778.6	133	1911.27
46689.8	89	1911.27
48601.1	76	1911.27
50512.4	78	1911.27
52423.6	56	1911.27
54334.9	60	1911.27
56246.2	33	1911.27
58157.4	20	1911.27
60068.7	30	1911.27
61980	25	1911.27
63891.2	16	1911.27
65802.5	21	1911.27
67713.8	15	1911.27
69625	9	1911.27
71536.3	4	1911.27
73447.6	5	1911.27
75358.8	4	1911.27
77270.1	2	1911.27
79181.4	6	1911.27
81092.6	1	1911.27
83003.9	3	1911.27
84915.1	0	1911.27
86826.4	3	1911.27
88737.7	1	1911.27
90649	1	1911.27
92560.2	0	1911.27
94471.5	1	1911.27
96382.8	0	1911.27

