# Lower Bound	Count	Width
0.0454264	1	0.00664803
0.0520745	0	0.00664804
0.0587225	3	0.00664803
0.0653705	6	0.00664803
0.0720186	11	0.00664803
0.0786666	9	0.00664803
0.0853146	10	0.00664803
0.0919627	20	0.00664804
0.0986107	17	0.00664803
0.105259	36	0.00664803
0.111907	33	0.00664803
0.118555	47	0.00664804
0.125203	56	0.00664803
0.131851	50	0.00664803
0.138499	69	0.00664803
0.145147	83	0.00664803
0.151795	75	0.00664803
0.158443	93	0.00664803
0.165091	93	0.00664803
0.171739	89	0.00664803
0.178387	96	0.00664803
0.185035	102	0.00664803
0.191683	88	0.00664803
0.198331	87	0.00664803
0.204979	88	0.00664803
0.211627	86	0.00664803
0.218275	82	0.00664805
0.224923	94	0.00664803
0.231571	89	0.00664803
0.238219	70	0.00664803
0.244867	71	0.00664802
0.251516	66	0.00664803
0.258164	43	0.00664803
0.264812	51	0.00664803
0.27146	39	0.00664806
0.278108	42	0.00664803
0.284756	31	0.00664803
0.291404	20	0.00664803
0.298052	17	0.00664803
0.3047	19	0.00664803
0.311348	11	0.00664803
0.317996	7	0.00664803
0.324644	12	0.00664803
0.331292	5	0.00664803
0.33794	4	0.00664803
0.344588	4	0.00664803
0.351236	2	0.00664803
0.357884	1	0.00664803
0.364532	1	0.00664803
0.37118	2	0.00664803

