# Lower Bound	Count	Width
0.00304825	271	0.0138512
0.0168995	1648	0.0138512
0.0307507	3115	0.0138512
0.044602	3826	0.0138512
0.0584532	4075	0.0138512
0.0723045	3880	0.0138512
0.0861557	2976	0.0138512
0.100007	2037	0.0138512
0.113858	1396	0.0138512
0.127709	895	0.0138513
0.141561	697	0.0138512
0.155412	520	0.0138513
0.169263	443	0.0138512
0.183114	341	0.0138513
0.196966	291	0.0138512
0.210817	221	0.0138513
0.224668	219	0.0138512
0.238519	168	0.0138513
0.252371	125	0.0138513
0.266222	115	0.0138512
0.280073	102	0.0138513
0.293924	87	0.0138513
0.307776	88	0.0138513
0.321627	66	0.0138512
0.335478	67	0.0138513
0.349329	43	0.0138513
0.363181	37	0.0138513
0.377032	25	0.0138512
0.390883	23	0.0138513
0.404734	19	0.0138513
0.418586	15	0.0138513
0.432437	11	0.0138512
0.446288	6	0.0138513
0.460139	4	0.0138513
0.473991	4	0.0138513
0.487842	6	0.0138513
0.501693	2	0.0138512
0.515544	1	0.0138512
0.529396	1	0.0138513
0.543247	2	0.0138512
0.557098	0	0.0138513
0.570949	1	0.0138512
0.584801	0	0.0138512
0.598652	1	0.0138513
0.612503	0	0.0138512
0.626354	1	0.0138512
0.640206	0	0.0138513
0.654057	0	0.0138512
0.667908	0	0.0138513
0.681759	1	0.0138512

