# Lower Bound	Count	Width
500.055	48115	710.198
1210.25	24055	710.198
1920.45	11707	710.198
2630.65	6405	710.198
3340.85	3119	710.198
4051.04	1980	710.198
4761.24	1413	710.198
5471.44	1172	710.198
6181.64	974	710.198
6891.83	881	710.198
7602.03	735	710.198
8312.23	641	710.197
9022.43	601	710.197
9732.62	523	710.198
10442.8	440	710.197
11153	360	710.198
11863.2	352	710.197
12573.4	319	710.198
13283.6	260	710.197
13993.8	206	710.198
14704	167	710.197
15414.2	152	710.198
16124.4	131	710.198
16834.6	113	710.197
17544.8	106	710.197
18255	104	710.197
18965.2	102	710.199
19675.4	107	710.197
20385.6	100	710.197
21095.8	70	710.197
21806	72	710.199
22516.2	53	710.197
23226.4	35	710.197
23936.6	33	710.197
24646.8	30	710.197
25357	32	710.199
26067.2	28	710.197
26777.4	24	710.197
27487.6	21	710.197
28197.8	15	710.199
28908	5	710.197
29618.2	7	710.197
30328.4	6	710.197
31038.6	3	710.199
31748.8	4	710.197
32459	2	710.199
33169.2	2	710.195
33879.3	2	710.199
34589.5	0	710.195
35299.7	3	710.199

