# Lower Bound	Count	Width
-5.96046e-07	592	0.00960298
0.00960238	34	0.00960298
0.0192054	232	0.00960298
0.0288083	548	0.00960298
0.0384113	903	0.00960298
0.0480143	1130	0.00960298
0.0576173	1337	0.00960298
0.0672202	1265	0.00960298
0.0768232	1228	0.00960298
0.0864262	1095	0.00960298
0.0960292	885	0.00960297
0.105632	813	0.00960298
0.115235	717	0.00960298
0.124838	593	0.00960297
0.134441	474	0.00960298
0.144044	401	0.00960298
0.153647	287	0.00960298
0.16325	280	0.00960298
0.172853	214	0.00960298
0.182456	176	0.00960298
0.192059	126	0.00960296
0.201662	91	0.00960298
0.211265	110	0.00960298
0.220868	77	0.00960298
0.230471	76	0.00960298
0.240074	65	0.00960298
0.249677	50	0.00960298
0.25928	39	0.00960296
0.268883	32	0.00960299
0.278486	26	0.00960296
0.288089	22	0.00960299
0.297692	17	0.00960296
0.307295	26	0.00960299
0.316898	15	0.00960296
0.326501	16	0.00960296
0.336104	10	0.00960299
0.345707	7	0.00960296
0.35531	9	0.00960299
0.364913	9	0.00960296
0.374516	5	0.00960299
0.384118	3	0.00960296
0.393721	3	0.00960296
0.403324	2	0.00960299
0.412927	1	0.00960296
0.42253	0	0.00960299
0.432133	3	0.00960296
0.441736	0	0.00960299
0.451339	1	0.00960296
0.460942	1	0.00960299
0.470545	1	0.00960296

